Year,Trip Name,Region,County,Swimming?,Application?,Price,Week in the quarter,Long Weekend,Number of ITW trips,More than one day hike?,Distance (miles),Tickets Sold,Tickets Available,Empty Spots,Filled?,PercentSold,Success,Beach_x,Hike,Paddle,Rafting,Surf,Yoga,Advanced,Beginner,Intermediate,Beach_y,Coast,Desert,Mountain,Redwood,River,Friday,Monday,Saturday,Sunday,Wednesday,Fall,Spring,Winter
2021,Mission Peak,Diablo Range,Alameda,0,0,0,1,0,2,0,13,17,17,0,1,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2021,Panther Beach,Davenport,Santa Cruz,1,0,5,2,0,2,0,39,19,19,0,1,1.0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2021,Mt. Umunhum,Santa Cruz Mountains,Santa Cruz,0,0,5,4,0,2,0,23,12,12,0,1,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0
2021,Pinnacles,Pinnacles,San Benito,0,0,10,5,0,2,0,80,12,12,0,1,1.0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
2021,Alum Rock,Diablo Range,Santa Clara,0,0,5,6,0,2,0,8,13,13,0,1,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2021,Maple Falls,Santa Cruz Mountains,Santa Cruz,0,0,5,7,0,2,0,41,10,10,0,1,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2021,Montara Mountain,Pacifica,San Mateo,0,0,5,8,0,2,0,49,13,13,0,1,1.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2021,Saratoga,Santa Cruz Mountains,Santa Clara,0,0,0,10,0,1,0,14,18,18,0,1,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
2022,Half Moon Bay,Half Moon Bay,San Mateo,0,0,10,1,0,2,0,39,13,13,0,1,1.0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
2022,Gray Whale Cove,Pacifica,San Mateo,0,0,5,2,1,2,0,50,12,12,0,1,1.0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
